,loss,train_accuracy_history,test_accuracy_history
0,0.8133199908516624,0.7323124420222634,0.7181768409526417
1,0.6885598009282893,0.7641987476808905,0.7278948809197918
2,0.6456130092794244,0.7791214923469388,0.7267998905009582
3,0.5954165491190824,0.7966285946196661,0.7309061045715849
4,0.5305768579244614,0.8192355635435993,0.7247467834656446
5,0.48303802473978563,0.8343083256029685,0.7258417738844787
6,0.438208086382259,0.8482613926252319,0.703394470298385
7,0.39084538411010394,0.8626949501391467,0.6890227210511909
8,0.3316593351689252,0.883919874768089,0.6586367369285517
9,0.2711893623525446,0.9033250231910946,0.7582808650424309
